iter	RMSE
0	1.093277599
1	1.09095861
2	1.088877959
3	1.086972631
4	1.085296973
5	1.083734557
6	1.082311816
7	1.081045443
8	1.07988397
9	1.078805234
10	1.077154083
11	1.075837365
12	1.074740412
13	1.073594592
14	1.0725802
15	1.071689458
16	1.070901303
17	1.070050396
18	1.069141539
19	1.068303842
20	1.067616331
21	1.06696582
22	1.066383994
23	1.065789361
24	1.065230093
25	1.064785066
26	1.064306702
27	1.063933754
28	1.063394732
29	1.063022016
30	1.062536206
31	1.062165202
32	1.061802805
33	1.061488668
34	1.061202587
35	1.060942418
36	1.060740684
37	1.060439979
38	1.060135772
39	1.05994669
40	1.059574336
41	1.059214491
42	1.059077919
43	1.058797452
44	1.058610884
45	1.058484774
46	1.058316609
47	1.058199379
48	1.058065451
49	1.057794968
50	1.057689944
51	1.057432838
52	1.057305625
53	1.057189969
54	1.057077602
55	1.056968926
56	1.056875488
57	1.056676677
58	1.056500725
59	1.056407892
60	1.056314021
61	1.05623878
62	1.056123113
63	1.056034163
64	1.055927629
65	1.055787808
66	1.055644547
67	1.055568452
68	1.055489278
69	1.055426346
70	1.055367457
71	1.055300161
72	1.055173685
73	1.055084909
74	1.055033457
75	1.054997583
76	1.054881574
77	1.054811796
78	1.054766134
79	1.054701574
80	1.054676519
81	1.054635307
82	1.054529637
83	1.054500925
84	1.054454487
85	1.054379436
86	1.054343565
87	1.054268732
88	1.054245104
89	1.054165021
90	1.054139068
91	1.054101154
92	1.054073088
93	1.05403347
94	1.054003056
95	1.053974854
96	1.05396215
97	1.05388187
98	1.053840782
99	1.053818134
100	1.053761058
101	1.053704043
102	1.053689892
103	1.0536792
104	1.053640335
105	1.053630291
106	1.053605497
107	1.053596036
108	1.053576459
109	1.053568355
110	1.053500668
111	1.053491631
112	1.053464256
113	1.053432649
114	1.053420228
115	1.05341288
116	1.053393179
117	1.053359255
118	1.053339204
119	1.053328443
120	1.053297667
121	1.053288507
122	1.053228639
123	1.053205469
124	1.05319876
125	1.05319207
126	1.053177078
127	1.053168795
128	1.053142769
129	1.053133575
130	1.053085164
131	1.053040707
132	1.053020686
133	1.053000326
134	1.052982746
135	1.052949083
136	1.05293844
137	1.052913352
138	1.052894038
139	1.052852798
140	1.052846191
141	1.052830514
142	1.052824661
143	1.052782539
144	1.052731588
145	1.052725522
146	1.052712244
147	1.052702158
148	1.052695958
149	1.052690656
150	1.052684103
151	1.052677751
152	1.052670063
153	1.052663139
154	1.052650394
155	1.052642707
156	1.052629769
157	1.052625024
158	1.052618087
159	1.052574237
160	1.052546853
161	1.052540905
162	1.052528059
163	1.052521706
164	1.05250632
165	1.052500479
166	1.052495615
167	1.052478319
168	1.052473581
169	1.05246275
170	1.052433303
171	1.052427361
172	1.052411866
173	1.052404549
174	1.05238946
175	1.052350914
176	1.052328713
177	1.05232312
178	1.052305074
179	1.052287594
180	1.052283339
181	1.052278958
182	1.052260582
183	1.052252513
184	1.052237293
185	1.052231662
186	1.052222991
187	1.052217958
188	1.052210466
189	1.052205055
190	1.052200064
191	1.0521783
192	1.052160318
193	1.052149634
194	1.05214589
195	1.052140647
196	1.052134249
197	1.052116173
198	1.052092165
199	1.052088045
200	1.052083574
201	1.052078122
202	1.052071033
203	1.052066048
204	1.052059073
205	1.05205427
206	1.05204396
207	1.052040099
208	1.052023223
209	1.052017468
210	1.05199724
211	1.051993679
212	1.051973585
213	1.051955079
214	1.051947231
215	1.051936768
216	1.051929158
217	1.051924326
218	1.051918333
219	1.051913389
220	1.051908393
221	1.051903838
222	1.051899018
223	1.051889567
224	1.051886105
225	1.05188074
226	1.051875606
227	1.051851154
228	1.0518466
229	1.051844155
230	1.051836901
231	1.05183217
232	1.051823062
233	1.051814067
234	1.05180842
235	1.051789735
236	1.051784096
237	1.051778536
238	1.051757253
239	1.051746178
240	1.05174057
241	1.051736666
242	1.051732011
243	1.051728659
244	1.051723151
245	1.051719393
246	1.051713067
247	1.051705653
248	1.051702982
249	1.051698094
250	1.051691667
251	1.051673805
252	1.051661438
253	1.051648626
254	1.051643547
255	1.05160132
256	1.05159798
257	1.051594569
258	1.051589401
259	1.051584839
260	1.051581621
261	1.051576844
262	1.05157543
263	1.051561645
264	1.051549775
265	1.051546132
266	1.051529493
267	1.05152421
268	1.051519707
269	1.051515014
270	1.051510555
271	1.051503509
272	1.051499208
273	1.051494549
274	1.051489557
275	1.051482263
276	1.051476204
277	1.051450655
278	1.051440919
279	1.051435925
280	1.051430949
281	1.051411673
282	1.051406712
283	1.05140257
284	1.051393245
285	1.051388361
286	1.051382468
287	1.0513756
288	1.051364797
289	1.051357351
290	1.051331648
291	1.051322785
292	1.051317146
293	1.051307678
294	1.051295324
295	1.051288926
296	1.051283895
297	1.051275911
298	1.051269594
299	1.051264408
300	1.051238862
301	1.051233283
302	1.051228372
303	1.051223408
304	1.051218109
305	1.051210575
306	1.051196578
307	1.051185794
308	1.051177055
309	1.051131031
310	1.05112523
311	1.05110884
312	1.051101109
313	1.051094492
314	1.051088064
315	1.05106873
316	1.051059664
317	1.051053035
318	1.051047287
319	1.05100775
320	1.05100354
321	1.050994201
322	1.050982689
323	1.050974732
324	1.050960583
325	1.050955739
326	1.050951668
327	1.050945685
328	1.05093284
329	1.050925702
330	1.050913653
331	1.050883029
332	1.050873935
333	1.050865206
334	1.050854256
335	1.050837722
336	1.050832278
337	1.050824194
338	1.050813791
339	1.050805939
340	1.050799318
341	1.050790038
342	1.050771828
343	1.050764908
344	1.050758151
345	1.05075176
346	1.050746061
347	1.050738817
348	1.050731716
349	1.050727211
350	1.050721793
351	1.050717107
352	1.05071115
353	1.050705772
354	1.050702128
355	1.05069579
356	1.050689501
357	1.050680321
358	1.050670359
359	1.050659792
360	1.050643193
361	1.050630557
362	1.05062504
363	1.05062032
364	1.050612904
365	1.050608617
366	1.050602613
367	1.050597262
368	1.050588828
369	1.050575236
370	1.050568911
371	1.050563643
372	1.050558336
373	1.050553245
374	1.050548383
375	1.050544104
376	1.050539456
377	1.050534402
378	1.050523237
