iter	Passed	Remaining
0	248	744937
1	335	502580
2	417	417531
3	515	386068
4	608	364224
5	716	357563
6	816	349051
7	910	340604
8	1000	332550
9	1089	325811
10	1216	330544
11	1331	331622
12	1436	329991
13	1545	329714
14	1655	329542
15	1768	329792
16	1873	328697
17	1987	329193
18	2102	329915
19	2219	330741
20	2342	332366
21	2465	333723
22	2580	334059
23	2725	338007
24	2851	339278
25	2965	339179
26	3075	338686
27	3182	337800
28	3298	337891
29	3406	337265
30	3513	336495
31	3620	335802
32	3797	341405
33	3982	347423
34	4102	347527
35	4215	347102
36	4326	346483
37	4431	345394
38	4540	344760
39	4653	344387
40	4769	344231
41	4895	344808
42	5015	344924
43	5123	344218
44	5241	344183
45	5351	343658
46	5450	342436
47	5578	343072
48	5690	342677
49	5799	342144
50	5920	342336
51	6066	343913
52	6177	343518
53	6277	342472
54	6381	341689
55	6487	341061
56	6576	339573
57	6676	338672
58	6787	338343
59	6886	337431
60	6980	336300
61	7098	336384
62	7206	335954
63	7303	335070
64	7422	335145
65	7536	335050
66	7649	334864
67	7768	334965
68	7913	336165
69	8043	336698
70	8150	336226
71	8252	335594
72	8377	335906
73	8483	335447
74	8608	335729
75	8723	335622
76	8831	335240
77	8928	334487
78	9030	333891
79	9132	333318
80	9235	332837
81	9332	332085
82	9442	331859
83	9535	331031
84	9637	330506
85	9741	330070
86	9848	329750
87	9943	329043
88	10028	328005
89	10129	327512
90	10205	326254
91	10303	325677
92	10384	324602
93	10473	323775
94	10560	322915
95	10647	322085
96	10735	321293
97	10824	320545
98	10916	319882
99	11002	319073
100	11095	318477
101	11191	317965
102	11287	317487
103	11368	316569
104	11461	316015
105	11562	315680
106	11656	315163
107	11782	315514
108	11918	316112
109	12020	315802
110	12122	315523
111	12203	314678
112	12295	314142
113	12388	313616
114	12470	312849
115	12551	312057
116	12636	311376
117	12716	310588
118	12817	310309
119	12900	309608
120	12988	309041
121	13076	308466
122	13173	308132
123	13262	307597
124	13339	306813
125	13431	306359
126	13510	305629
127	13589	304906
128	13674	304333
129	13754	303666
130	13860	303557
131	13964	303400
132	14061	303125
133	14149	302630
134	14242	302247
135	14354	302279
136	14438	301733
137	14530	301343
138	14621	300953
139	14726	300845
140	14812	300345
141	14892	299734
142	14978	299248
143	15088	299248
144	15189	299069
145	15275	298596
146	15371	298334
147	15467	298059
148	15556	297655
149	15640	297165
150	15735	296899
151	15838	296755
152	15930	296425
153	16025	296160
154	16112	295741
155	16209	295516
156	16294	295066
157	16382	294671
158	16466	294220
159	16573	294176
160	16674	294032
161	16769	293770
162	16864	293531
163	16948	293078
164	17047	292911
165	17132	292496
166	17222	292166
167	17316	291904
168	17396	291411
169	17507	291442
170	17618	291470
171	17712	291225
172	17818	291175
173	17900	290730
174	17985	290333
175	18092	290300
176	18198	290251
177	18292	290000
178	18381	289685
179	18484	289585
180	18585	289456
181	18687	289347
182	18777	289057
183	18864	288712
184	18965	288586
185	19055	288292
186	19145	287995
187	19231	287656
188	19325	287429
189	19422	287248
190	19517	287042
191	19617	286901
192	19724	286867
193	19819	286673
194	19903	286298
195	19986	285930
196	20127	286385
197	20271	286875
198	20379	286848
199	20465	286510
200	20551	286185
201	20642	285930
202	20720	285489
203	20851	285793
204	20989	286178
205	21088	286020
206	21177	285737
207	21265	285449
208	21374	285431
209	21454	285042
210	21553	284889
211	21650	284722
212	21750	284589
213	21858	284575
214	21941	284214
215	22029	283936
216	22143	283981
217	22232	283722
218	22318	283409
219	22404	283115
220	22499	282921
221	22602	282838
222	22688	282532
223	22781	282322
224	22885	282259
225	22987	282154
226	23093	282111
227	23196	282016
228	23295	281879
229	23392	281728
230	23488	281553
231	23568	281191
232	23669	281092
233	23758	280834
234	23850	280618
235	23947	280473
236	24102	280995
237	24212	280985
238	24314	280887
239	24426	280906
240	24502	280507
241	24579	280128
242	24678	279991
243	24764	279711
244	24842	279356
245	24932	279117
246	25014	278804
247	25104	278583
248	25185	278258
249	25274	278014
250	25355	277698
251	25452	277557
252	25530	277202
253	25614	276916
254	25693	276578
255	25795	276499
256	25901	276454
257	25995	276283
258	26084	276048
259	26178	275876
260	26273	275721
261	26358	275451
262	26453	275297
263	26547	275130
264	26633	274873
265	26720	274640
266	26818	274517
267	26913	274356
268	27008	274201
269	27097	273983
270	27194	273847
271	27293	273738
272	27385	273557
273	27475	273348
274	27560	273101
275	27652	272919
276	27739	272684
277	27829	272490
278	27927	272367
279	28012	272126
280	28118	272081
281	28231	272103
282	28335	272042
283	28429	271883
284	28518	271680
285	28617	271564
286	28709	271392
287	28791	271122
288	28902	271121
289	29007	271067
290	29105	270948
291	29209	270887
292	29304	270739
293	29409	270688
294	29513	270622
295	29597	270378
296	29687	270186
297	29789	270100
298	29887	269988
299	29978	269810
300	30096	269871
301	30191	269719
302	30285	269568
303	30364	269284
304	30459	269143
305	30551	268972
306	30652	268878
307	30760	268850
308	30854	268705
309	30966	268706
310	31061	268563
311	31173	268569
312	31268	268432
313	31375	268392
314	31489	268407
315	31592	268334
316	31699	268299
317	31807	268264
318	31899	268096
319	32005	268050
320	32111	267999
321	32219	267965
322	32322	267887
323	32421	267776
324	32527	267727
325	32627	267621
326	32732	267567
327	32835	267491
328	32945	267470
329	33047	267382
330	33149	267297
331	33254	267238
332	33358	267169
333	33457	267056
334	33566	267029
335	33670	266962
336	33755	266741
337	33866	266726
338	33965	266615
339	34073	266572
340	34182	266542
341	34286	266475
342	34398	266459
343	34508	266434
344	34613	266374
345	34696	266139
346	34781	265924
347	34879	265805
348	34976	265678
349	35062	265472
350	35161	265367
351	35254	265210
352	35343	265028
353	35443	264926
354	35532	264743
355	35613	264500
356	35705	264339
357	35789	264120
358	35881	263961
359	35980	263856
360	36169	264411
361	36280	264384
362	36377	264265
363	36471	264115
364	36569	263999
365	36663	263854
366	36751	263666
367	36848	263549
368	36950	263460
369	37059	263422
370	37159	263320
371	37248	263141
372	37343	263004
373	37443	262904
374	37535	262746
375	37628	262600
376	37730	262514
377	37837	262461
378	37954	262474
379	38046	262321
380	38153	262268
381	38256	262188
382	38359	262105
383	38465	262043
384	38555	261873
385	38642	261687
386	38719	261428
387	38804	261232
388	38903	261122
389	39004	261030
390	39097	260882
391	39185	260704
392	39266	260474
393	39355	260307
394	39450	260170
395	39556	260111
396	39644	259937
397	39748	259860
398	39830	259648
399	39921	259488
400	40024	259409
401	40108	259211
402	40198	259047
403	40306	259002
404	40394	258821
405	40491	258707
406	40577	258520
407	40653	258271
408	40740	258092
409	40826	257902
410	40921	257775
411	41014	257635
412	41116	257549
413	41199	257350
414	41281	257138
415	41363	256928
416	41458	256806
417	41551	256664
418	41632	256454
419	41726	256318
420	41815	256155
421	41923	256110
422	42015	255969
423	42105	255811
424	42193	255645
425	42289	255522
426	42374	255341
427	42454	255122
428	42548	254995
429	42637	254832
430	42730	254700
431	42816	254520
432	42895	254302
433	42978	254106
434	43074	253988
435	43164	253839
436	43257	253704
437	43336	253487
438	43418	253293
439	43506	253126
440	43583	252905
441	43672	252744
442	43759	252582
443	43840	252378
444	43937	252273
445	44022	252091
446	44124	252012
447	44219	251891
448	44303	251712
449	44387	251528
450	44484	251421
451	44576	251286
452	44666	251138
453	44748	250945
454	44838	250798
455	44916	250589
456	45010	250461
457	45106	250349
458	45183	250130
459	45272	249982
460	45365	249855
461	45454	249704
462	45532	249495
463	45631	249397
464	45717	249236
465	45796	249030
466	45882	248868
467	45967	248695
468	46070	248624
469	46150	248427
470	46249	248335
471	46345	248225
472	46454	248184
473	46548	248063
474	46639	247925
475	46724	247755
476	46822	247657
477	46920	247561
478	47010	247420
479	47110	247328
480	47189	247134
481	47296	247082
482	47395	246986
483	47492	246880
484	47578	246723
485	47667	246575
486	47757	246434
487	47857	246346
488	47946	246203
489	48038	246077
490	48128	245938
491	48208	245745
492	48310	245665
493	48409	245573
494	48506	245473
495	48594	245326
496	48695	245240
497	48788	245116
498	48870	244939
499	48955	244777
500	49062	244726
501	49156	244608
502	49241	244447
503	49325	244278
504	49415	244139
505	49507	244016
506	49611	243946
507	49691	243762
508	49789	243665
509	49869	243482
510	49965	243371
511	50055	243239
512	50150	243128
513	50247	243027
514	50335	242880
515	50428	242762
516	50529	242676
517	50614	242518
518	50695	242340
519	50793	242247
520	50878	242086
521	50960	241915
522	51052	241792
523	51140	241648
524	51234	241532
525	51334	241448
526	51426	241325
527	51521	241216
528	51601	241033
529	51684	240869
530	51766	240700
531	51853	240553
532	51935	240383
533	52032	240286
534	52122	240152
535	52204	239986
536	52291	239840
537	52373	239670
538	52473	239586
539	52563	239455
540	52660	239359
541	52766	239300
542	52856	239166
543	52963	239115
544	53053	238982
545	53133	238809
546	53222	238676
547	53321	238586
548	53401	238409
549	53503	238335
550	53592	238199
551	53677	238049
552	53773	237943
553	53859	237798
554	53946	237656
555	54038	237537
556	54136	237443
557	54228	237323
558	54313	237172
559	54405	237051
560	54497	236932
561	54599	236858
562	54713	236831
563	54822	236784
564	54911	236655
565	54991	236482
566	55077	236336
567	55163	236193
568	55251	236056
569	55329	235879
570	55422	235762
571	55500	235587
572	55580	235416
573	55675	235310
574	55752	235130
575	55840	234993
576	55930	234867
577	56007	234690
578	56160	234825
579	56262	234749
580	56344	234589
581	56428	234439
582	56512	234289
583	56592	234121
584	56679	233983
585	56763	233835
586	56851	233701
587	56933	233543
588	57015	233386
589	57104	233259
590	57179	233070
591	57266	232936
592	57356	232809
593	57456	232726
594	57534	232556
595	57610	232374
596	57698	232241
597	57798	232161
598	57882	232014
599	57972	231888
600	58090	231879
601	58166	231698
602	58241	231515
603	58322	231360
604	58424	231282
605	58502	231113
606	58592	230990
607	58666	230806
608	58751	230663
609	58831	230504
610	58935	230435
611	59025	230316
612	59117	230202
613	59193	230024
614	59276	229878
615	59373	229784
616	59457	229640
617	59540	229492
618	59631	229375
619	59718	229241
620	59803	229103
621	59892	228979
622	59976	228834
623	60076	228753
624	60159	228607
625	60238	228443
626	60332	228340
627	60409	228170
628	60500	228053
629	60588	227926
630	60667	227767
631	60744	227601
632	60824	227444
633	60913	227320
634	61010	227228
635	61097	227098
636	61171	226921
637	61251	226764
638	61343	226652
639	61428	226518
640	61510	226370
641	61597	226241
642	61675	226080
643	61759	225940
644	61852	225833
645	61929	225669
646	62023	225567
647	62103	225412
648	62186	225271
649	62284	225183
650	62374	225064
651	62451	224903
652	62526	224732
653	62614	224606
654	62719	224544
655	62835	224521
656	62936	224444
657	63037	224367
658	63133	224271
659	63216	224132
660	63301	223998
661	63402	223920
662	63491	223799
663	63594	223729
664	63681	223601
665	63781	223523
666	63879	223435
667	63968	223314
668	64062	223212
669	64149	223085
670	64241	222979
671	64329	222854
672	64416	222728
673	64521	222664
674	64611	222550
675	64706	222453
676	64798	222343
677	64885	222219
678	64983	222132
679	65081	222041
680	65188	221986
681	65278	221868
682	65371	221766
683	65463	221655
684	65546	221519
685	65633	221392
686	65727	221291
687	65813	221163
688	65914	221087
689	66009	220986
690	66095	220859
691	66173	220707
692	66265	220598
693	66363	220511
694	66451	220388
695	66536	220257
696	66625	220139
697	66717	220032
698	66814	219943
699	66913	219858
700	66999	219731
701	67083	219599
702	67164	219456
703	67272	219398
704	67358	219274
705	67448	219159
706	67536	219040
707	67633	218950
708	67734	218872
709	67831	218780
710	67928	218689
711	68012	218556
712	68104	218450
713	68191	218327
714	68280	218209
715	68374	218110
716	68478	218041
717	68571	217938
718	68661	217825
719	68745	217693
720	68844	217610
721	68932	217491
722	69023	217381
723	69107	217249
724	69189	217113
725	69287	217025
726	69381	216923
727	69465	216793
728	69563	216706
729	69666	216633
730	69761	216537
731	69840	216389
732	69931	216282
733	70038	216220
734	70133	216125
735	70223	216015
736	70312	215897
737	70412	215818
738	70512	215735
739	70604	215628
740	70698	215528
741	70773	215372
742	70852	215227
743	70931	215084
744	71013	214945
745	71093	214806
746	71181	214687
747	71259	214540
748	71335	214387
749	71431	214293
750	71513	214158
751	71599	214036
752	71695	213944
753	71788	213842
754	71888	213761
755	71975	213642
756	72055	213502
757	72149	213401
758	72239	213292
759	72318	213149
760	72418	213069
761	72495	212921
762	72593	212833
763	72698	212765
764	72799	212688
765	72902	212615
766	72998	212524
767	73084	212402
768	73169	212278
769	73262	212176
770	73360	212088
771	73457	211998
772	73550	211898
773	73638	211782
774	73715	211633
775	73801	211512
776	73882	211379
777	73964	211246
778	74047	211114
779	74134	210998
780	74217	210869
781	74295	210726
782	74380	210601
783	74455	210450
784	74538	210323
785	74620	210190
786	74723	210116
787	74816	210018
788	74898	209886
789	74988	209777
790	75065	209632
791	75146	209498
792	75218	209340
793	75306	209228
794	75390	209102
795	75482	208999
796	75568	208879
797	75653	208759
798	75734	208624
799	75826	208522
800	75907	208389
801	75991	208266
802	76086	208173
803	76191	208104
804	76277	207987
805	76369	207884
806	76450	207752
807	76531	207619
808	76634	207547
809	76725	207443
810	76815	207334
811	76908	207235
812	77000	207133
813	77097	207044
814	77182	206925
815	77268	206806
816	77358	206700
817	77448	206591
818	77546	206507
819	77623	206365
820	77704	206234
821	77794	206126
822	77895	206048
823	77979	205925
824	78062	205801
825	78158	205709
826	78249	205606
827	78335	205488
828	78434	205406
829	78517	205281
830	78611	205185
831	78693	205057
832	78782	204948
833	78876	204851
834	78984	204791
835	79080	204702
836	79169	204592
837	79271	204517
838	79360	204406
839	79456	204316
840	79534	204180
841	79626	204079
842	79735	204021
843	79821	203904
844	79913	203804
845	80009	203711
846	80107	203626
847	80196	203516
848	80272	203376
849	80375	203303
850	80465	203197
851	80566	203117
852	80655	203010
853	80754	202927
854	80840	202811
855	80923	202686
856	81014	202582
857	81099	202464
858	81195	202374
859	81279	202253
860	81367	202142
861	81459	202043
862	81551	201940
863	81648	201852
864	81740	201752
865	81822	201626
866	81909	201515
867	82003	201417
868	82088	201300
869	82173	201182
870	82262	201075
